MBON,fallprop_bootstrap,fallprop_deltag,fallnumber_bootstrap,fallnumber_deltag,speed_bootstrap,speed_deltag,time_bootstrap,time_deltag,height_bootstrap,height_deltag,displacement_bootstrap,displacement_deltag,bspeed_bootstrap,bspeed_deltag,pausepos_bootstrap,pausepos_deltag,displacementbetweenpause_bootstrap,displacementbetweenpause_deltag,maxvelocity_bootstrap,maxvelocity_deltag,straightindex_bootstrap,straightindex_deltag,ascent_bootstrap,ascent_deltag,descent_bootstrap,descent_deltag,meanpause_bootstrap,meanpause_deltag,meanbout_bootstrap,meanbout_deltag,pause_bootstrap,pause_deltag,bout_bootstrap,bout_deltag
MB011B,-0.02356711915535445,0.081,-0.0009426847662141746,0.09,-0.1862098188639717,-0.028,0.30105960555440625,0.262,0.38392981398627324,0.243,-0.10063321276440813,-0.017,0.06314941871537888,0.166,0.22883869271753882,0.201,-0.03415835298501025,0.304,-0.10908622021435721,-0.242,0.17384162383279986,0.104,-0.08856741443291671,0.089,-0.048299211862796565,-0.051,0.37870884424796836,0.319,0.08133585536663339,0.126,-0.16777270547403755,-0.114,-0.17636622872432747,-0.095
MB011B,0.045248868778280535,0.081,0.045248868778280535,0.09,-0.11333606983030632,-0.028,0.3432364457598509,0.262,0.3802639711796826,0.243,-0.036933969639952165,-0.017,0.20810653335446727,0.166,0.38474749756315957,0.201,0.5153351429106252,0.304,-0.25265423237764584,-0.242,0.17310108226324278,0.104,0.2370722429889858,0.089,-0.19138947620882388,-0.051,0.4062604678177104,0.319,0.2288816442202874,0.126,-0.13942604010907234,-0.114,-0.14077870353624206,-0.095
MB011B,0.11595022624434388,0.081,0.11142533936651582,0.09,0.0923271435681904,-0.028,0.18013799509964973,0.262,0.13689367917676742,0.243,-0.09732457178861206,-0.017,0.26633220423189347,0.166,0.17872342861212132,0.201,0.1999055556579321,0.304,-0.16871763392548933,-0.242,0.04039044681669967,0.104,0.10551694892144727,0.089,-0.15691530030400896,-0.051,0.3001758710272875,0.319,0.05681236073763688,0.126,-0.15915569590296025,-0.114,-0.19143315497278912,-0.095
MB011B,0.1276395173453997,0.081,0.1366892911010558,0.09,-0.0845674026027166,-0.028,0.2956815444284069,0.262,0.2730432307262832,0.243,-0.025684882825743282,-0.017,0.17830777182604407,0.166,0.23320794274006587,0.201,0.4222890587966477,0.304,-0.13725981083073677,-0.242,0.30019888337547274,0.104,0.0936119565941972,0.089,-0.06500909188896681,-0.051,0.3684570913978271,0.319,0.11252552705730288,0.126,-0.1730465036814729,-0.114,-0.15933505595574365,-0.095
MB011B,0.1222662141779789,0.081,0.13131598793363497,0.09,0.02733991177634551,-0.028,0.18245009247173155,0.262,0.2921162843587821,0.243,-0.042902297512225955,-0.017,0.041359258560689095,0.166,0.29395227614155234,0.201,0.44707724976614915,0.304,-0.30487220465676634,-0.242,-0.07365209063323497,0.104,0.11795011023006824,0.089,-0.12417235624498817,-0.051,0.4300895732709655,0.319,0.14390714379273042,0.126,-0.346587425944893,-0.114,-0.3121303264386126,-0.095
MB011B,0.11595022624434388,0.081,0.11595022624434385,0.09,-0.14923206198525532,-0.028,0.4184246980546056,0.262,0.46490746680941597,0.243,-0.14425915079118473,-0.017,0.08386063049779836,0.166,0.2250715015448317,0.201,0.21805917964329138,0.304,0.09499027610345577,-0.242,0.02272302415689784,0.104,-0.16520053673074714,0.089,-0.08275011241795542,-0.051,0.41447203845633085,0.319,0.05025335302335843,0.126,-0.30034751666184356,-0.114,-0.2674148321276091,-0.095
MB011B,0.11406485671191555,0.081,0.15478883861236803,0.09,-0.28893805893630586,-0.028,0.41517838349162933,0.262,0.6024339196176973,0.243,-0.13903556685975837,-0.017,0.2637343963401433,0.166,0.5648092184001754,0.201,0.09141420306783217,0.304,-0.2603097324871251,-0.242,0.13944390460516787,0.104,-0.04674165907234539,0.089,-0.1295409512209119,-0.051,0.19102505473962303,0.319,0.2179036512824968,0.126,0.0025662678777251804,-0.114,0.03343840840724594,-0.095
MB011B,0.15035822021116135,0.081,0.14583333333333331,0.09,0.00026823953917801943,-0.028,-0.10075117597011636,0.262,-0.05151960797942628,0.243,0.03365774674412894,-0.017,0.17910029269433997,0.166,-0.20775041633178798,0.201,0.1935744155680368,0.304,-0.6530230394550124,-0.242,-0.022442062415131536,0.104,0.15572607999702592,0.089,0.015834620963142112,-0.051,0.3425777750810123,0.319,0.07038260487086817,0.126,0.004308504785538754,-0.114,0.03094265988756229,-0.095
MB011B,0.05976621417797888,0.081,0.06429110105580693,0.09,-0.1582336422589055,-0.028,0.5195726458046409,0.262,0.3783742227258334,0.243,-0.13761108788845458,-0.017,0.21950451482227035,0.166,0.4883648762765884,0.201,0.06169340990069395,0.304,-0.3031835760119858,-0.242,-0.2213943214937157,0.104,0.136342077758999,0.089,-0.2537476454912229,-0.051,0.28593798816912713,0.319,0.10608940053259533,0.126,-0.20579584879996654,-0.114,-0.18260560002353682,-0.095
MB011B,0.06608220211161388,0.081,0.08418174962292609,0.09,0.021078799954835616,-0.028,0.40609591674765144,0.262,0.3727210137342323,0.243,-0.014566292767538935,-0.017,0.1323043116105625,0.166,0.1968699017326383,0.201,0.20175750738383863,0.304,-0.3901197668177697,-0.242,-0.06041323540661333,0.104,0.2830972215614963,0.089,-0.1789023346412103,-0.051,0.3182208124946202,0.319,0.087563844503167,0.126,0.11903715953925498,-0.114,0.12446390302793836,-0.095
